YEAR,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
2023-24,Andrew Wiggins,GSW,26.0,26.7,12.7,4.8,11.2,42.8,1.0,3.2,31.0,2.1,3.0,69.2,1.9,2.6,4.5,1.2,0.3,0.4,1.7,10.0
2023-24,Rudy Gobert,MIN,29.0,32.2,12.7,4.8,7.9,60.9,0.0,0.0,0.0,3.0,4.9,62.0,3.6,8.4,12.0,1.2,0.7,2.2,1.5,22.4
2023-24,Tyus Jones,WAS,29.0,27.8,12.6,5.3,9.8,54.1,1.5,3.4,44.0,0.6,0.7,76.2,0.2,2.9,3.1,5.4,1.2,0.3,0.8,17.1
2023-24,Reggie Jackson,DEN,32.0,24.5,12.5,5.0,10.6,47.3,1.5,4.0,37.2,1.0,1.4,72.7,0.3,1.8,2.2,4.4,0.6,0.2,1.6,12.4
2023-24,Jonathan Kuminga,GSW,29.0,21.7,12.5,4.6,9.2,50.4,0.7,2.3,30.9,2.5,3.8,67.0,1.1,2.7,3.8,1.2,0.6,0.3,1.2,11.4
2023-24,Jaden Ivey,DET,26.0,25.1,12.4,4.3,9.6,45.2,1.0,3.3,29.4,2.8,3.6,77.4,0.8,2.3,3.2,3.1,0.8,0.6,2.0,12.0
2023-24,Jalen Suggs,ORL,25.0,26.1,12.4,4.4,9.4,46.6,1.7,4.7,36.8,1.9,2.3,82.8,0.6,2.8,3.4,2.4,1.7,0.6,1.9,13.2
2023-24,Ivica Zubac,LAC,30.0,26.6,12.3,5.3,8.3,63.5,0.0,0.0,0.0,1.8,2.9,61.6,3.2,6.1,9.3,1.2,0.2,1.4,1.2,19.1
2023-24,Jusuf Nurkic,PHX,27.0,28.5,12.1,4.5,9.7,46.4,0.6,2.4,26.6,2.6,3.6,71.1,3.0,7.3,10.3,3.9,1.0,1.2,2.1,20.2
2023-24,Clint Capela,ATL,29.0,26.0,12.0,5.0,8.5,59.3,0.0,0.0,0.0,1.9,2.7,71.8,4.8,5.7,10.5,1.1,0.6,1.7,0.9,20.8
2023-24,Rui Hachimura,LAL,22.0,24.3,12.0,4.6,9.5,48.6,1.3,3.4,37.8,1.5,2.0,72.7,0.8,3.0,3.8,1.1,0.7,0.2,0.9,11.6
2023-24,Obi Toppin,IND,29.0,23.8,11.9,4.7,7.9,59.6,1.3,3.4,37.8,1.2,1.6,76.1,1.0,2.5,3.5,1.3,0.6,0.6,0.8,13.5
2023-24,Moritz Wagner,ORL,29.0,19.0,11.8,4.7,7.6,62.1,0.5,1.6,33.3,1.9,2.5,76.7,1.5,2.7,4.2,1.2,0.4,0.3,1.3,13.3
2023-24,Harrison Barnes,SAC,29.0,31.0,11.7,4.0,8.2,48.3,1.7,4.4,39.1,2.1,2.5,83.3,0.9,2.3,3.2,1.4,0.7,0.2,0.8,11.8
2023-24,De'Anthony Melton,PHI,28.0,29.1,11.7,3.9,9.9,38.8,2.0,5.6,36.1,2.0,2.4,82.1,0.9,3.2,4.1,3.5,1.6,0.5,1.2,13.8
