Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
385.0,Mason Plumlee,C,33,LAC,27,9.0,16.9,2.3,3.5,0.642,0.0,0.0,2.3,3.5,0.642,0.642,1.8,2.6,0.686,1.4,4.3,5.7,1.2,0.4,0.3,0.7,1.5,6.3,
386.0,Brandin Podziemski,SG,20,GSW,52,19.0,26.8,3.8,8.5,0.451,1.2,3.4,0.366,2.6,5.2,0.507,0.524,0.7,1.2,0.613,1.5,4.2,5.8,3.9,0.8,0.2,1.3,1.8,9.7
387.0,Jakob Poeltl,C,28,TOR,49,49.0,26.6,5.0,7.6,0.656,0.0,0.0,5.0,7.6,0.656,0.656,1.2,2.2,0.551,3.0,5.8,8.7,2.5,0.7,1.5,1.6,3.0,11.2,
388.0,Aleksej Pokusevski,PF,22,OKC,10,0.0,6.0,0.4,1.6,0.25,0.2,1.1,0.182,0.2,0.5,0.4,0.313,0.2,0.4,0.5,0.2,0.8,1.0,0.5,0.1,0.1,0.3,0.5,1.2
389.0,Jordan Poole,SG,24,WAS,58,52.0,29.3,5.8,14.6,0.401,2.1,6.7,0.31,3.8,7.9,0.478,0.472,2.5,2.9,0.86,0.4,2.2,2.5,3.7,1.1,0.3,2.2,3.3,16.3
390.0,Craig Porter Jr.,PG,23,CLE,35,5.0,14.0,2.5,4.9,0.506,0.2,0.6,0.333,2.3,4.3,0.53,0.526,1.0,1.4,0.708,0.4,1.9,2.4,2.6,0.5,0.3,1.0,0.9,6.1
391.0,Jontay Porter,PF,24,TOR,17,5.0,13.0,1.5,4.1,0.371,0.7,2.2,0.324,0.8,1.9,0.424,0.457,0.6,0.7,0.917,1.0,2.2,3.2,1.8,0.7,0.6,0.6,1.6,4.4
392.0,Michael Porter Jr.,SF,25,DEN,59,59.0,31.7,6.3,13.3,0.475,2.7,6.9,0.39,3.6,6.4,0.566,0.576,1.1,1.3,0.821,1.4,5.7,7.1,1.5,0.5,0.7,1.1,1.9,16.4
393.0,Otto Porter Jr.,SF,30,TOR,15,1.0,11.6,0.9,2.2,0.424,0.5,1.5,0.348,0.4,0.7,0.6,0.545,0.2,0.2,1.0,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6
394.0,Bobby Portis,PF,28,MIL,61,1.0,23.9,5.2,10.5,0.495,1.2,3.1,0.38,4.0,7.5,0.542,0.55,1.3,1.7,0.782,1.7,5.3,7.0,1.2,0.8,0.4,1.0,2.3,12.9
395.0,Kristaps Porziņģis,C,28,BOS,44,44.0,29.6,6.8,12.8,0.526,1.9,5.1,0.375,4.8,7.8,0.625,0.6,4.9,5.7,0.859,1.6,5.3,6.9,1.9,0.6,1.8,1.6,2.8,20.3
396.0,Micah Potter,PF,25,UTA,2,0.0,3.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,
397.0,Dwight Powell,C,32,DAL,50,8.0,14.7,1.3,1.9,0.705,0.0,0.0,0.5,1.3,1.9,0.71,0.711,1.2,1.7,0.723,1.6,2.0,3.6,1.5,0.4,0.4,0.6,2.0,3.9
398.0,Norman Powell,SG,30,LAC,57,1.0,25.5,4.8,9.9,0.491,2.2,4.8,0.447,2.7,5.0,0.533,0.601,1.7,2.1,0.831,0.2,2.4,2.6,1.1,0.5,0.3,0.9,1.8,13.6
399.0,Jason Preston,PG,24,UTA,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
400.0,Joshua Primo,SG,21,LAC,2,0.0,5.0,0.5,1.5,0.333,0.0,0.5,0.0,0.5,1.0,0.5,0.333,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,2.0,0.0,1.0,
401.0,Taurean Prince,PF,29,LAL,58,49.0,29.4,3.4,7.7,0.434,1.9,4.9,0.385,1.5,2.8,0.521,0.557,0.7,0.9,0.717,0.2,2.7,2.9,1.7,0.8,0.4,0.9,2.1,9.3
402.0,Payton Pritchard,PG,26,BOS,59,0.0,20.4,2.9,6.6,0.436,1.7,4.5,0.379,1.2,2.1,0.556,0.564,0.5,0.6,0.811,0.9,2.2,3.1,2.7,0.4,0.1,0.6,1.3,8.0
403.0,Olivier-Maxence Prosper,PF,21,DAL,33,0.0,7.9,0.8,2.2,0.351,0.2,1.0,0.235,0.5,1.2,0.45,0.405,0.7,1.0,0.676,0.5,1.3,1.9,0.6,0.2,0.1,0.2,0.5,2.5
404.0,Trevelin Queen,SG,26,ORL,13,0.0,12.5,1.1,2.9,0.368,0.2,1.3,0.176,0.8,1.6,0.524,0.408,0.7,0.9,0.75,0.2,1.2,1.5,1.4,0.5,0.4,0.5,1.2,3.1
405.0,Neemias Queta,C,24,BOS,23,0.0,12.3,2.1,3.5,0.613,0.0,0.0,2.1,3.5,0.613,0.613,0.7,0.9,0.75,1.9,2.5,4.4,0.5,0.4,0.6,0.4,2.0,4.9,
406.0,Immanuel Quickley,SG-PG,24,TOT,55,25.0,28.0,5.5,12.6,0.434,2.5,6.1,0.408,3.0,6.5,0.458,0.533,2.6,3.0,0.849,0.2,3.1,3.4,4.0,0.7,0.1,1.2,1.7,16.0
407.0,Lester Quinones,SG,23,GSW,25,0.0,12.3,1.5,3.9,0.392,0.9,2.3,0.379,0.6,1.6,0.41,0.505,0.7,1.0,0.68,0.8,1.5,2.3,1.2,0.2,0.1,0.6,1.4,4.6
408.0,Julius Randle,PF,29,NYK,46,46.0,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7.0,9.2,5.0,0.5,0.3,3.5,2.7,24.0
409.0,Duop Reath,C,27,POR,44,12.0,17.2,3.3,7.1,0.466,1.3,3.6,0.363,2.0,3.4,0.576,0.559,1.0,1.3,0.724,1.5,2.3,3.8,1.1,0.5,0.5,0.8,2.5,8.9
410.0,Austin Reaves,SG,25,LAL,61,36.0,31.4,5.5,11.2,0.49,1.7,4.7,0.36,3.8,6.4,0.585,0.566,2.9,3.4,0.865,0.7,3.4,4.0,5.4,0.9,0.2,2.1,1.9,15.6
411.0,Cam Reddish,SF,24,LAL,37,26.0,22.7,2.3,5.6,0.407,0.9,2.6,0.34,1.4,3.0,0.464,0.486,1.0,1.2,0.783,0.5,1.8,2.4,1.3,1.2,0.3,0.8,1.5,6.5
412.0,Paul Reed,C,24,PHI,59,22.0,18.2,2.9,5.4,0.544,0.2,0.6,0.343,2.7,4.8,0.569,0.563,0.6,0.8,0.739,2.2,3.4,5.6,1.2,0.7,0.8,0.7,2.4,6.6
413.0,Naz Reid,C,24,MIN,60,0.0,23.0,4.7,9.7,0.485,1.9,4.6,0.406,2.8,5.1,0.558,0.582,1.2,1.6,0.766,1.0,3.8,4.7,1.1,0.7,0.8,1.2,2.1,12.4
414.0,Jared Rhoden,SG,24,DET,6,0.0,7.0,1.0,1.8,0.545,0.2,0.7,0.25,0.8,1.2,0.714,0.591,0.3,0.3,1.0,0.2,0.7,0.8,0.7,0.0,0.3,0.5,0.7,2.5
415.0,Nick Richards,C,26,CHO,51,38.0,26.1,3.9,5.7,0.692,0.0,0.0,0.0,3.9,5.6,0.694,0.692,2.2,3.0,0.73,2.7,5.4,8.0,0.8,0.4,1.3,1.1,2.7,10.0
416.0,Josh Richardson,SG,30,MIA,43,6.0,25.7,3.6,8.1,0.444,1.5,4.4,0.347,2.0,3.7,0.561,0.539,1.2,1.3,0.944,0.4,2.4,2.8,2.4,0.6,0.3,0.8,1.8,9.9
417.0,Duncan Robinson,SF,29,MIA,54,22.0,28.0,4.6,10.1,0.455,2.8,6.8,0.409,1.8,3.3,0.551,0.594,1.3,1.5,0.886,0.2,2.2,2.4,3.0,0.7,0.2,1.4,2.4,13.3
418.0,Jerome Robinson,SG,26,GSW,13,0.0,3.0,0.2,0.9,0.167,0.1,0.5,0.143,0.1,0.4,0.2,0.208,0.4,0.6,0.625,0.1,0.2,0.2,0.2,0.0,0.1,0.0,0.2,0.8
419.0,Mitchell Robinson,C,25,NYK,21,21.0,29.2,2.8,4.7,0.592,0.0,0.0,2.8,4.7,0.592,0.592,0.7,1.8,0.368,5.3,5.0,10.3,0.7,1.5,1.3,1.0,1.9,6.2,
420.0,Orlando Robinson,C,23,MIA,25,7.0,10.1,1.3,2.5,0.516,0.3,0.5,0.538,1.0,2.0,0.51,0.573,0.7,1.0,0.75,0.8,2.0,2.8,1.1,0.2,0.3,0.6,1.2,3.6
421.0,Jeremiah Robinson-Earl,PF,23,NOP,26,1.0,9.8,1.3,2.6,0.515,0.5,1.1,0.414,0.9,1.5,0.59,0.603,0.5,0.6,0.8,0.7,1.5,2.2,0.4,0.3,0.2,0.5,0.7,3.6
422.0,David Roddy,PF,22,TOT,51,13.0,22.1,3.1,7.6,0.404,0.9,3.1,0.304,2.1,4.5,0.472,0.465,0.9,1.3,0.687,1.0,3.0,4.0,1.5,0.5,0.2,1.1,1.4,8.0
423.0,Ryan Rollins,PG,21,WAS,10,0.0,6.6,1.3,2.5,0.52,0.2,0.3,0.667,1.1,2.2,0.5,0.56,1.3,1.7,0.765,0.2,0.9,1.1,1.1,0.8,0.3,0.7,0.7,4.1
424.0,Derrick Rose,PG,35,MEM,24,7.0,16.6,3.2,6.9,0.461,0.6,1.7,0.366,2.5,5.2,0.492,0.506,1.0,1.1,0.889,0.3,1.6,1.9,3.3,0.3,0.1,1.3,0.9,8.0
425.0,Terry Rozier,SG-PG,29,TOT,42,41.0,34.0,7.4,16.8,0.441,2.3,6.9,0.333,5.1,9.9,0.516,0.509,3.4,3.9,0.87,0.6,3.4,4.1,6.2,1.0,0.4,1.9,1.7,20.5
426.0,Rayan Rupert,SG,19,POR,17,0.0,7.4,0.9,2.6,0.356,0.5,1.1,0.444,0.5,1.6,0.296,0.444,0.4,0.6,0.7,0.5,0.9,1.4,0.8,0.2,0.0,0.4,0.5,2.8
427.0,D'Angelo Russell,PG,27,LAL,56,49.0,31.7,6.5,13.9,0.466,2.7,6.6,0.417,3.8,7.4,0.51,0.564,2.0,2.5,0.804,0.4,2.5,2.9,6.4,0.8,0.5,2.0,2.1,17.7
428.0,Matt Ryan,SF,26,NOP,18,1.0,19.0,2.5,5.6,0.45,2.1,4.5,0.469,0.4,1.1,0.368,0.64,0.7,0.8,0.929,0.3,1.7,2.1,0.8,0.3,0.1,1.0,1.6,7.8
429.0,Domantas Sabonis,C,27,SAC,59,59.0,35.8,8.1,13.1,0.614,0.5,1.1,0.424,7.6,12.0,0.631,0.632,3.3,4.8,0.689,3.4,9.9,13.2,8.4,0.8,0.6,3.2,3.1,19.9
430.0,Luka Šamanić,PF,24,UTA,28,0.0,5.8,0.9,2.4,0.388,0.3,1.0,0.259,0.7,1.4,0.475,0.44,0.6,0.8,0.818,0.3,1.4,1.7,0.1,0.0,0.1,0.4,0.6,2.8
431.0,Jermaine Samuels,SF,25,HOU,11,0.0,4.8,0.7,1.0,0.727,0.0,0.2,0.0,0.7,0.8,0.889,0.727,0.2,0.2,1.0,0.2,0.8,1.0,0.2,0.1,0.1,0.0,0.4,1.6
