Rk	First Name	Last Name	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
363.0	Jalen	Pickett	SG	24	DEN	15	0.0	6.0	0.7	1.7	0.44	0.5	1.2	0.389	0.3	0.5	0.571	0.58	0.1	0.1	1.0	0.1	0.7	0.7	0.7	0.2	0.0	0.4	0.5	2.1
365.0	Brandin	Podziemski	SG	20	GSW	31	9.0	23.8	3.5	7.6	0.455	1.4	3.3	0.408	2.1	4.3	0.492	0.545	0.7	1.1	0.618	1.5	3.9	5.5	3.2	0.9	0.2	1.3	1.8	8.9
367.0	Aleksej	Pokusevski	PF	22	OKC	7	0.0	6.1	0.3	1.6	0.182	0.1	1.1	0.125	0.1	0.4	0.333	0.227	0.1	0.3	0.5	0.3	0.9	1.1	0.7	0.0	0.1	0.4	0.7	0.9
368.0	Jordan	Poole	SG	24	WAS	36	36.0	29.1	6.0	14.6	0.414	2.0	6.4	0.316	4.0	8.1	0.491	0.484	2.8	3.2	0.853	0.4	1.9	2.4	3.7	1.0	0.3	2.4	3.1	16.8
369.0	Craig	Porter	Jr.	PG	23	CLE	25.0	5.0	15.9	3.0	5.9	0.503	0.3	0.8	0.35	2.7	5.1	0.528	0.527	1.0	1.5	0.658	0.6	2.1	2.7	3.2	0.7	0.5	1.1	1.0
370.0	Jontay	Porter	PF	24	TOR	5	0.0	12.2	1.6	3.8	0.421	0.6	2.4	0.25	1.0	1.4	0.714	0.5	0.4	0.4	1.0	1.0	2.0	3.0	1.6	0.4	0.4	0.8	1.8	4.2
371.0	Michael	Porter	Jr.	SF	25	DEN	39.0	39.0	30.9	6.2	13.0	0.473	2.7	6.9	0.394	3.4	6.1	0.563	0.578	1.0	1.3	0.776	1.3	5.8	7.1	1.4	0.4	0.7	1.0	1.9
372.0	Otto	Porter	Jr.	SF	30	TOR	15.0	1.0	11.6	0.9	2.2	0.424	0.5	1.5	0.348	0.4	0.7	0.6	0.545	0.2	0.2	1.0	0.4	1.5	1.9	0.5	0.3	0.3	0.1	1.3
373.0	Bobby	Portis	PF	28	MIL	38	0.0	23.5	5.1	10.1	0.501	1.1	2.9	0.364	4.0	7.2	0.556	0.553	1.2	1.6	0.767	1.7	5.1	6.7	1.0	0.7	0.5	0.9	2.6	12.4
374.0	Kristaps	Porziņģis	C	28	BOS	28	28.0	29.7	6.5	12.3	0.528	1.6	4.9	0.319	4.9	7.4	0.667	0.591	4.7	5.6	0.835	1.6	5.3	6.8	1.9	0.7	1.8	1.5	2.8	19.3
376.0	Dwight	Powell	C	32	DAL	36	7.0	15.8	1.6	2.3	0.711	0.0	0.1	0.5	1.6	2.3	0.716	0.717	1.4	1.9	0.754	1.7	2.1	3.8	1.6	0.5	0.4	0.5	2.1	4.8
377.0	Norman	Powell	SG	30	LAC	37	0.0	25.6	4.6	9.3	0.493	2.0	4.5	0.455	2.6	4.9	0.528	0.601	2.1	2.4	0.898	0.2	2.2	2.4	1.0	0.6	0.4	0.9	1.8	13.4
379.0	Taurean	Prince	PF	29	LAL	37	37.0	30.9	3.5	8.3	0.427	2.2	5.6	0.392	1.3	2.6	0.5	0.56	0.6	0.8	0.742	0.3	2.7	3.0	1.8	0.9	0.5	0.9	2.2	9.9
380.0	Payton	Pritchard	PG	26	BOS	38	0.0	20.8	2.8	6.6	0.418	1.7	4.5	0.371	1.1	2.1	0.519	0.544	0.5	0.7	0.741	1.0	2.2	3.2	3.0	0.4	0.1	0.6	1.2	7.7
381.0	Olivier-Maxence	Prosper	PF	21	DAL	23	0.0	9.3	1.0	2.7	0.349	0.3	1.3	0.258	0.6	1.4	0.438	0.413	0.8	1.2	0.704	0.7	1.6	2.3	0.8	0.1	0.1	0.2	0.7	3.1
382.0	Trevelin	Queen	SG	26	ORL	5	0.0	21.0	1.6	4.4	0.364	0.6	1.8	0.333	1.0	2.6	0.385	0.432	0.8	1.0	0.8	0.6	1.6	2.2	2.2	1.2	0.4	0.6	2.4	4.6
384.0	Immanuel	Quickley	SG-PG	24	TOT	36	6.0	25.2	5.3	11.8	0.449	2.3	5.6	0.408	3.0	6.2	0.486	0.546	2.9	3.3	0.866	0.2	2.7	2.9	3.1	0.6	0.1	1.0	1.6	15.7
386.0	Julius	Randle	PF	29	NYK	38	38.0	35.6	8.7	18.4	0.474	1.5	5.1	0.292	7.2	13.3	0.545	0.515	5.4	7.0	0.777	2.0	7.2	9.2	4.8	0.6	0.3	3.3	2.7	24.4
387.0	Duop	Reath	C	27	POR	25	8.0	17.0	3.2	7.0	0.451	1.4	3.7	0.366	1.8	3.3	0.549	0.549	1.1	1.3	0.848	1.4	2.5	3.9	1.0	0.5	0.4	0.8	2.2	8.8
388.0	Austin	Reaves	SG	25	LAL	39	14.0	30.0	5.2	10.8	0.48	1.6	4.6	0.343	3.6	6.2	0.58	0.552	3.1	3.6	0.878	0.9	3.4	4.3	5.2	0.9	0.1	2.2	1.7	15.1
389.0	Cam	Reddish	SF	24	LAL	32	25.0	23.9	2.3	6.0	0.393	0.9	2.8	0.341	1.4	3.2	0.437	0.471	1.1	1.3	0.833	0.6	1.9	2.5	1.4	1.3	0.3	0.9	1.6	6.7
390.0	Paul	Reed	C	24	PHI	36	7.0	15.4	2.5	4.5	0.559	0.2	0.5	0.353	2.3	4.0	0.583	0.578	0.6	0.9	0.719	1.8	2.8	4.5	1.2	0.7	0.7	0.8	2.2	5.8
391.0	Naz	Reid	C	24	MIN	37	0.0	22.7	4.8	9.6	0.504	1.9	4.8	0.401	2.9	4.8	0.607	0.604	1.2	1.5	0.852	1.1	3.8	5.0	1.1	0.6	0.6	1.3	2.0	12.8
392.0	Jared	Rhoden	SG	24	DET	5	0.0	6.0	1.0	1.8	0.556	0.2	0.8	0.25	0.8	1.0	0.8	0.611	0.4	0.4	1.0	0.2	0.6	0.8	0.6	0.0	0.0	0.4	0.8	2.6
394.0	Josh	Richardson	SG	30	MIA	28	4.0	27.3	3.6	8.1	0.439	1.5	4.4	0.339	2.1	3.7	0.558	0.531	1.4	1.5	0.929	0.4	2.3	2.8	3.0	0.6	0.3	1.0	1.8	10.0
395.0	Duncan	Robinson	SF	29	MIA	35	16.0	29.0	4.8	10.5	0.455	3.0	7.2	0.414	1.8	3.3	0.543	0.597	1.4	1.6	0.86	0.3	2.3	2.6	3.1	0.6	0.2	1.3	2.4	13.9
396.0	Jerome	Robinson	SG	26	GSW	5	0.0	3.8	0.0	1.4	0.0	0.0	0.8	0.0	0.0	0.6	0.0	0.0	0.6	0.8	0.75	0.2	0.4	0.6	0.2	0.0	0.2	0.0	0.2	0.6
398.0	Orlando	Robinson	C	23	MIA	15	7.0	14.3	2.1	3.9	0.525	0.5	0.8	0.583	1.6	3.1	0.511	0.585	0.7	1.1	0.688	1.2	2.7	3.9	1.6	0.3	0.5	0.9	1.9	5.3
399.0	Jeremiah	Robinson-Earl	PF	23	NOP	16	1.0	10.8	1.6	2.9	0.553	0.5	1.1	0.444	1.1	1.8	0.621	0.638	0.4	0.4	1.0	0.7	1.9	2.6	0.6	0.3	0.2	0.5	0.8	4.1
400.0	David	Roddy	PF	22	MEM	34	8.0	21.6	2.8	6.9	0.4	0.9	3.1	0.286	1.9	3.8	0.492	0.464	0.9	1.3	0.711	0.9	2.8	3.6	1.2	0.5	0.3	0.9	1.2	7.4
401.0	Ryan	Rollins	PG	21	WAS	10	0.0	6.6	1.3	2.5	0.52	0.2	0.3	0.667	1.1	2.2	0.5	0.56	1.3	1.7	0.765	0.2	0.9	1.1	1.1	0.8	0.3	0.7	0.7	4.1
402.0	Derrick	Rose	PG	35	MEM	17	7.0	17.9	3.3	7.5	0.438	0.6	1.9	0.333	2.6	5.6	0.474	0.48	1.1	1.2	0.905	0.4	1.4	1.8	3.4	0.4	0.1	1.3	1.1	8.4
403.0	Terry	Rozier	SG	29	CHO	24	24.0	36.0	8.7	18.7	0.463	2.8	7.6	0.372	5.8	11.1	0.526	0.539	4.1	4.7	0.875	0.5	3.3	3.8	7.0	1.1	0.4	2.2	1.8	24.3
404.0	Rayan	Rupert	SG	19	POR	11	0.0	7.1	0.6	2.5	0.25	0.3	1.0	0.273	0.4	1.5	0.235	0.304	0.2	0.4	0.5	0.3	0.8	1.1	0.6	0.2	0.0	0.5	0.4	1.7
405.0	D'Angelo	Russell	PG	27	LAL	35	28.0	28.7	5.6	12.0	0.464	2.1	5.3	0.385	3.5	6.7	0.528	0.55	1.5	2.1	0.75	0.3	2.5	2.7	6.1	0.8	0.5	1.9	1.9	14.7
406.0	Matt	Ryan	SF	26	NOP	13	1.0	22.9	2.9	6.4	0.458	2.5	5.2	0.471	0.5	1.2	0.4	0.651	1.0	1.1	0.929	0.4	1.9	2.3	1.1	0.4	0.1	1.2	1.8	9.3
407.0	Domantas	Sabonis	C	27	SAC	37	37.0	34.9	8.1	13.4	0.604	0.5	1.2	0.395	7.6	12.3	0.623	0.621	3.6	5.4	0.667	3.4	9.3	12.7	7.7	0.9	0.5	3.3	3.2	20.2
408.0	Luka	Šamanić	PF	24	UTA	17	0.0	6.6	1.2	3.1	0.377	0.3	1.2	0.25	0.9	1.9	0.455	0.425	0.5	0.6	0.818	0.4	1.7	2.1	0.2	0.1	0.1	0.5	0.6	3.2
